ModelForces
version=1
nRows=260
nColumns=3
inDegrees=no

This file contains the forces exerted on a model during a simulation.

A force is a generalized force, meaning that it can be either a force (N) or a torque (Nm).

Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.

endheader
time	RightMuscle	LeftMuscle
      0.00000000	      0.00000000	      0.00000000
      0.00066976	      0.26822526	      0.01507436
      0.00133953	      4.07793903	      0.12845499
      0.00220930	     15.68400932	      0.57721607
      0.00331817	     34.00371270	      1.71839158
      0.00473053	     57.89932340	      3.70087534
      0.00652754	     87.28856827	      6.26939965
      0.00881795	    122.41943683	      9.15258210
      0.01175459	    160.10816269	     12.49873027
      0.01557197	    194.27809391	     16.77020694
      0.01938934	    214.64228719	     20.90380005
      0.02567812	    221.68039400	     27.72853602
      0.03196690	    205.62429727	     34.32432232
      0.03825567	    179.88205911	     41.90196525
      0.04384230	    155.45208589	     48.83055446
      0.04942893	    133.11047797	     54.95367739
      0.05649810	    110.77989336	     62.48746306
      0.06115916	     99.76945810	     67.12050659
      0.06582022	     91.25142111	     72.17864589
      0.07067831	     84.57681589	     77.93632190
      0.07553639	     79.79508681	     84.61345060
      0.08039448	     76.65126005	     92.46248261
      0.08525257	     74.98167995	    101.75100883
      0.09011065	     74.69360064	    112.55037458
      0.09496874	     75.74663109	    124.81072619
      0.09982683	     78.13197239	    138.22020096
      0.10178827	     79.46961373	    144.03411913
      0.10298883	     80.38379993	    147.69678077
      0.10418939	     81.36430938	    151.91554494
      0.10864283	     85.58648384	    173.44191285
      0.11309626	     90.92541252	    199.22375844
      0.11605431	     95.25748360	    217.62884116
      0.11901235	    100.30568509	    235.59533284
      0.12265623	    107.57249766	    256.90198967
      0.12630011	    115.99637938	    276.46317846
      0.13013357	    126.03783720	    295.28239564
      0.13396703	    137.17135703	    311.71934204
      0.13805913	    150.16718148	    326.33898203
      0.14215122	    164.34398542	    337.02369348
      0.14624332	    179.93107030	    342.49096457
      0.15033541	    197.42626202	    342.03340022
      0.15442751	    217.19226285	    337.08374326
      0.16006003	    246.45921562	    327.37138410
      0.16395850	    263.96542151	    321.30313784
      0.16726236	    270.91803801	    317.41980573
      0.17056621	    269.61209699	    314.54408041
      0.17387007	    264.50950699	    312.16882665
      0.17795866	    256.54428019	    309.22045946
      0.18204726	    247.82854254	    305.73150197
      0.18613585	    238.67055878	    301.41540636
      0.19108376	    227.18684420	    294.94235064
      0.19603166	    215.19783049	    287.10488045
      0.19926697	    207.07987732	    281.29221263
      0.20088015	    203.12473929	    278.20611280
      0.20283237	    198.53336168	    274.24719302
      0.20746179	    188.61811210	    263.53053492
      0.21209121	    179.74999016	    251.09599125
      0.21773116	    170.27168476	    234.64332841
      0.22337111	    161.72081742	    218.00643371
      0.22850909	    154.80081767	    203.48063429
      0.23469929	    147.21182574	    187.28990612
      0.24088948	    140.26772186	    172.82538886
      0.24647079	    134.61263137	    161.48083205
      0.25205209	    129.28916786	    151.88706978
      0.25733567	    124.73141160	    144.38179677
      0.26261926	    120.41830187	    138.20487116
      0.26818473	    116.32490949	    132.80426701
      0.27375020	    112.45361869	    128.09032841
      0.27960531	    108.85243050	    123.27839796
      0.28546042	    105.31300479	    118.15803551
      0.29131552	    102.24497735	    112.78451105
      0.29717063	     98.72201845	    108.30666397
      0.30049372	     96.73007695	    106.44725977
      0.30381681	     95.08177663	    104.84140230
      0.30477197	     94.82695479	    104.39043222
      0.30572713	     95.04920527	    103.93526580
      0.30852820	    102.25508914	    102.56280471
      0.31132926	    119.20848189	    101.21668757
      0.31622535	    162.83613085	     99.76047465
      0.32112145	    213.03165035	    101.03362194
      0.32389234	    243.21056879	    103.56066650
      0.32666323	    272.78997295	    107.64507558
      0.32943412	    301.11582818	    113.40619654
      0.33289213	    334.53578467	    123.01004355
      0.33635014	    365.43731212	    135.22639935
      0.33980815	    393.10583086	    149.85070404
      0.34326616	    416.13833308	    166.61895942
      0.34672417	    432.36353033	    185.41467285
      0.35018218	    439.63734486	    206.75070645
      0.35437286	    435.95343470	    237.25859980
      0.35856353	    422.05503423	    272.86851152
      0.36435870	    396.80538944	    323.91347570
      0.36661366	    388.11310481	    340.58768946
      0.36940999	    379.80754964	    352.11715800
      0.37220632	    374.66327525	    351.11310893
      0.37500266	    372.37534471	    343.64087033
      0.37855829	    372.45014198	    331.60069568
      0.38286790	    374.84532635	    316.54897906
      0.38806121	    377.82298535	    298.85110986
      0.39325451	    378.10989845	    281.56253504
      0.39844782	    374.12784400	    264.52992477
      0.40028473	    371.61273302	    258.55064271
